Objects in View; FPS
0;0.000000
0;0.000000
0;0.000000
0;0.000000
0;0.000000
0;0.000000
0;0.000000
0;0.000000
0;0.000000
0;0.000000
0;0.000000
0;0.000000
0;0.000000
0;0.000000
0;0.000000
0;0.000000
0;0.000000
0;0.000000
0;0.000000
0;0.000000
0;0.000000
0;0.000000
0;0.000000
0;0.000000
0;0.000000
0;0.000000
0;0.000000
0;0.000000
0;0.000000
0;0.000000
0;0.000000
0;0.000000
0;0.000000
0;0.000000
0;0.000000
0;0.000000
0;0.000000
0;0.000000
0;0.000000
0;0.000000
0;0.000000
0;0.000000
0;0.000000
0;0.000000
0;0.000000
0;0.000000
0;0.000000
0;0.000000
0;0.000000
0;0.000000
0;0.000000
0;0.000000
0;0.000000
0;0.000000
0;0.000000
0;0.000000
0;0.000000
0;0.000000
0;0.000000
0;0.000000
0;0.000000
0;0.000000
0;0.000000
0;0.000000
0;0.000000
0;0.000000
0;65.863594
0;65.863594
0;104.568741
0;105.947571
0;106.673607
0;106.312820
0;107.220596
0;106.624886
0;106.881660
0;106.656342
0;107.205917
0;104.382462
0;107.072945
0;106.215141
0;106.315170
0;105.533478
0;106.764648
0;106.559540
0;106.613823
0;105.301521
0;106.641579
0;105.587662
0;106.059258
